RANK,0,1,2,3,4,5,6
focus,43,40,28,18,45,0,40
uncertain,45,43,41,42,0,0,60
UCB\_minus,40,46,51,41,0,0,45
PI,40,44,49,47,50,0,45
EI,39,46,49,38,0,0,48
UCB\_plus,41,44,47,43,0,50,45
rand,43,43,43,38,40,0,50
certain,39,46,45,33,40,0,10
baseline,0,0,0,0,2247,2243,3642
