Rank,0,1,2,3,4,5,6
UCB\_plus,42,45,40,0,0,0,45
UCB\_minus,39,60,43,25,0,0,45
focus,38,45,33,10,0,0,0
PI,40,45,45,0,0,0,45
EI,39,60,43,0,0,0,45
bonr,44,40,38,45,0,0,0
rand,44,30,35,30,0,0,50
b2,33,45,43,10,55,0,0
baseline,0,0,0,0,2212,2765,1980
