Rank,0,1,2,3,4,5,6
UCB\_plus,69,6,19,0,0,0,6
UCB\_minus,69,6,13,6,0,0,6
focus,69,6,19,6,0,0,0
PI,69,6,19,0,0,0,6
EI,69,6,19,0,0,0,6
bonr,63,13,13,13,0,0,0
rand,56,6,25,6,0,0,6
b2,56,19,13,6,6,0,0
baseline,0,0,0,0,31,25,19
