Rank,0,1,2,3,4,5,6
focus,44,33,40,0,0,0,0
bonr,48,48,40,0,0,0,0
b2,41,43,48,15,55,0,0
UCB\_plus,50,48,51,43,0,0,0
UCB\_minus,50,48,54,45,0,0,0
PI,50,49,51,47,0,0,0
EI,50,48,53,38,0,0,0
rand,38,43,50,41,40,0,0
baseline,0,0,0,0,2248,3168,4889
