Rank,0,1,2,3,4,5,6
focus,75,19,6,0,0,0,0
bonr,69,25,6,0,0,0,0
b2,50,19,19,6,6,0,0
UCB\_plus,25,19,38,19,0,0,0
UCB\_minus,25,19,31,25,0,0,0
PI,25,25,31,19,0,0,0
EI,25,19,38,19,0,0,0
rand,19,19,31,25,6,0,0
baseline,0,0,0,0,19,13,25
