dataset,treatment,budget,time
HSMGP_num,PI,9,458.8185
HSMGP_num,progressive,15,582.1859
HSMGP_num,progressive,40,991.784
HSMGP_num,progressive,9,363.6183
HSMGP_num,rand,15,14.334
HSMGP_num,rand,40,14.1691
HSMGP_num,rand,9,13.7552
HSMGP_num,SimAnnealing,15,582.5776
HSMGP_num,SimAnnealing,40,984.7727
HSMGP_num,SimAnnealing,9,351.4476
HSMGP_num,UCB,15,758.2575
HSMGP_num,UCB,40,1238.2879
HSMGP_num,UCB,9,460.4752
nasa93dem,b2,15,61.1409
nasa93dem,b2,40,131.589
nasa93dem,b2,9,36.8117
nasa93dem,base,,0.9317
nasa93dem,bonr,15,60.2372
nasa93dem,bonr,40,134.8589
nasa93dem,bonr,9,36.1015
nasa93dem,EI,15,78.3822
nasa93dem,EI,40,219.014
nasa93dem,EI,9,42.9339
nasa93dem,ExpProgressive,15,62.6086
nasa93dem,ExpProgressive,40,133.2884
nasa93dem,ExpProgressive,9,45.7235
nasa93dem,PI,15,65.7813
nasa93dem,PI,40,222.053
nasa93dem,PI,9,40.6796
nasa93dem,progressive,15,76.18
nasa93dem,progressive,40,148.114
nasa93dem,progressive,9,53.2307
nasa93dem,rand,15,1.1562
nasa93dem,rand,40,1.2829
nasa93dem,rand,9,1.0049
nasa93dem,SimAnnealing,15,66.8569
nasa93dem,SimAnnealing,40,136.6382
nasa93dem,SimAnnealing,9,42.3014
nasa93dem,UCB,15,75.95
nasa93dem,UCB,40,222.1532
nasa93dem,UCB,9,41.7122
pom3d,b2,15,84.622
pom3d,b2,40,196.7342
pom3d,b2,9,51.5131
pom3d,base,,1.8676
pom3d,bonr,15,90.037
pom3d,bonr,40,204.8522
pom3d,bonr,9,52.0409
pom3d,EI,15,226.2357
pom3d,EI,40,561.7685
pom3d,EI,9,114.8611
pom3d,ExpProgressive,15,92.9887
pom3d,ExpProgressive,40,209.1751
pom3d,ExpProgressive,9,58.8994
pom3d,PI,15,225.361
pom3d,PI,40,573.997
pom3d,PI,9,115.9104
pom3d,progressive,15,99.4133
pom3d,progressive,40,210.1857
pom3d,progressive,9,60.0097
pom3d,rand,15,2.4761
pom3d,rand,40,2.4579
pom3d,rand,9,2.1775
pom3d,SimAnnealing,15,93.4491
pom3d,SimAnnealing,40,206.8536
pom3d,SimAnnealing,9,57.3625
pom3d,UCB,15,228.0983
pom3d,UCB,40,558.1951
pom3d,UCB,9,114.7625
sol-6d-c2-obj1,b2,15,229.8552
sol-6d-c2-obj1,b2,40,508.6672
sol-6d-c2-obj1,b2,9,130.8654
sol-6d-c2-obj1,base,,6.0735
sol-6d-c2-obj1,bonr,15,222.3907
sol-6d-c2-obj1,bonr,40,494.8074
sol-6d-c2-obj1,bonr,9,125.156
sol-6d-c2-obj1,EI,15,660.1835
sol-6d-c2-obj1,EI,40,1170.1556
sol-6d-c2-obj1,EI,9,399.6687
sol-6d-c2-obj1,ExpProgressive,15,214.0188
sol-6d-c2-obj1,ExpProgressive,40,480.435
sol-6d-c2-obj1,ExpProgressive,9,132.7689
sol-6d-c2-obj1,PI,15,635.8757
sol-6d-c2-obj1,PI,40,1136.1843
sol-6d-c2-obj1,PI,9,379.0196
sol-6d-c2-obj1,progressive,15,232.3478
sol-6d-c2-obj1,progressive,40,489.6774
sol-6d-c2-obj1,progressive,9,137.5862
sol-6d-c2-obj1,rand,15,7.2367
sol-6d-c2-obj1,rand,40,6.9241
sol-6d-c2-obj1,rand,9,6.8348
sol-6d-c2-obj1,SimAnnealing,15,219.0566
sol-6d-c2-obj1,SimAnnealing,40,489.7317
sol-6d-c2-obj1,SimAnnealing,9,129.967
sol-6d-c2-obj1,UCB,15,637.8604
sol-6d-c2-obj1,UCB,40,1139.3201
sol-6d-c2-obj1,UCB,9,388.8882
SS-A,b2,15,116.452
SS-A,b2,40,270.253
SS-A,b2,9,40.2247
SS-A,base,,1.2218
SS-A,bonr,15,109.7769
SS-A,bonr,40,268.1007
SS-A,bonr,9,64.7982
SS-A,EI,15,426.9846
SS-A,EI,40,852.6118
SS-A,EI,9,227.2461
SS-A,ExpProgressive,15,120.9832
SS-A,ExpProgressive,40,271.6997
SS-A,ExpProgressive,9,74.3497
SS-A,PI,15,405.9541
SS-A,PI,40,836.027
SS-A,PI,9,231.2447
SS-A,progressive,15,124.2316
SS-A,progressive,40,279.8055
SS-A,progressive,9,78.1911
SS-A,rand,15,2.1043
SS-A,rand,40,2.2266
SS-A,rand,9,2.3011
SS-A,SimAnnealing,15,118.132
SS-A,SimAnnealing,40,274.2469
SS-A,SimAnnealing,9,48.4265
SS-A,UCB,15,402.1134
SS-A,UCB,40,847.4316
SS-A,UCB,9,227.3892
SS-C,b2,15,110.7747
SS-C,b2,40,288.679
SS-C,b2,9,65.7804
SS-C,base,,2.2411
SS-C,bonr,15,115.9225
SS-C,bonr,40,284.9471
SS-C,bonr,9,64.7358
SS-C,EI,15,459.3664
SS-C,EI,40,900.2871
SS-C,EI,9,245.8767
SS-C,ExpProgressive,15,122.4902
SS-C,ExpProgressive,40,285.99
SS-C,ExpProgressive,9,72.6588
SS-C,PI,15,438.5716
SS-C,PI,40,877.687
SS-C,PI,9,242.874
SS-C,progressive,15,129.5765
SS-C,progressive,40,290.605
SS-C,progressive,9,75.7392
SS-C,rand,15,2.2189
SS-C,rand,40,2.5369
SS-C,rand,9,2.148
SS-C,SimAnnealing,15,118.6044
SS-C,SimAnnealing,40,283.5896
SS-C,SimAnnealing,9,69.4049
SS-C,UCB,15,421.2326
SS-C,UCB,40,880.9781
SS-C,UCB,9,253.0704
SS-M,b2,15,249.8838
SS-M,b2,40,533.4912
SS-M,b2,9,145.1998
SS-M,base,,3.508
SS-M,bonr,15,253.3543
SS-M,bonr,40,525.9796
SS-M,bonr,9,151.8973
SS-M,EI,15,339.7759
SS-M,EI,40,769.1083
SS-M,EI,9,179.4119
SS-M,ExpProgressive,15,257.18
SS-M,ExpProgressive,40,539.2169
SS-M,ExpProgressive,9,155.7643
SS-M,PI,15,327.5286
SS-M,PI,40,753.0374
SS-M,PI,9,179.2993
SS-M,progressive,15,261.7972
SS-M,progressive,40,542.8282
SS-M,progressive,9,156.1678
SS-M,rand,15,4.1878
SS-M,rand,40,4.3648
SS-M,rand,9,4.2224
SS-M,SimAnnealing,15,256.2103
SS-M,SimAnnealing,40,537.4732
SS-M,SimAnnealing,9,151.2244
SS-M,UCB,15,336.4591
SS-M,UCB,40,756.3902
SS-M,UCB,9,172.5014
SS-Q,b2,15,438.7443
SS-Q,b2,40,843.4329
SS-Q,b2,9,264.005
SS-Q,base,,9.9218
SS-Q,bonr,15,449.0821
SS-Q,bonr,40,847.6336
SS-Q,bonr,9,268.9396
SS-Q,EI,15,675.4808
SS-Q,EI,40,1171.6127
SS-Q,EI,9,411.7446
SS-Q,ExpProgressive,15,443.4742
SS-Q,ExpProgressive,40,822.6855
SS-Q,ExpProgressive,9,262.8607
SS-Q,PI,15,682.8873
SS-Q,PI,40,1181.2613
SS-Q,PI,9,402.3162
SS-Q,progressive,15,442.1771
SS-Q,progressive,40,827.2018
SS-Q,progressive,9,273.4926
SS-Q,rand,15,11.1161
SS-Q,rand,40,11.2825
SS-Q,rand,9,11.1438
SS-Q,SimAnnealing,15,439.1997
SS-Q,SimAnnealing,40,828.902
SS-Q,SimAnnealing,9,260.905
SS-Q,UCB,15,678.482
SS-Q,UCB,40,1188.0369
SS-Q,UCB,9,405.4881
SS-R,b2,15,513.7418
SS-R,b2,40,915.0814
SS-R,b2,9,312.9825
SS-R,base,,11.0204
SS-R,bonr,15,508.2004
SS-R,bonr,40,925.1338
SS-R,bonr,9,309.7474
SS-R,EI,15,741.0164
SS-R,EI,40,1214.3624
SS-R,EI,9,441.3263
SS-R,ExpProgressive,15,503.8974
SS-R,ExpProgressive,40,916.1995
SS-R,ExpProgressive,9,310.0956
SS-R,PI,15,712.4526
SS-R,PI,40,1222.4244
SS-R,PI,9,444.8066
SS-R,progressive,15,514.1371
SS-R,progressive,40,920.9529
SS-R,progressive,9,310.0583
SS-R,rand,15,11.7788
SS-R,rand,40,11.8155
SS-R,rand,9,12.593
SS-R,SimAnnealing,15,516.2509
SS-R,SimAnnealing,40,923.8718
SS-R,SimAnnealing,9,313.0017
SS-R,UCB,15,704.538
SS-R,UCB,40,1228.7689
SS-R,UCB,9,448.0849
SS-T,b2,15,624.5938
SS-T,b2,40,1052.5651
SS-T,b2,9,392.2209
SS-T,base,,16.1357
SS-T,bonr,15,639.4651
SS-T,bonr,40,1065.1028
SS-T,bonr,9,401.8289
SS-T,EI,15,900.2851
SS-T,EI,40,1404.2773
SS-T,EI,9,591.1825
SS-T,ExpProgressive,15,642.2644
SS-T,ExpProgressive,40,1058.974
SS-T,ExpProgressive,9,404.8245
SS-T,PI,15,888.989
SS-T,PI,40,1379.4212
SS-T,PI,9,595.4044
SS-T,progressive,15,647.7105
SS-T,progressive,40,1059.5672
SS-T,progressive,9,404.8493
SS-T,rand,15,16.964
SS-T,rand,40,19.0595
SS-T,rand,9,18.3045
SS-T,SimAnnealing,15,635.2028
SS-T,SimAnnealing,40,1062.2238
SS-T,SimAnnealing,9,400.8682
SS-T,UCB,15,885.6446
SS-T,UCB,40,1402.7194
SS-T,UCB,9,574.0052
SS-U,b2,15,797.5629
SS-U,b2,40,1216.2216
SS-U,b2,9,534.1809
SS-U,base,,22.6819
SS-U,bonr,15,805.8889
SS-U,bonr,40,1210.8345
SS-U,bonr,9,550.7484
SS-U,EI,15,895.0794
SS-U,EI,40,1382.5946
SS-U,EI,9,574.5992
SS-U,ExpProgressive,15,801.2708
SS-U,ExpProgressive,40,1207.2277
SS-U,ExpProgressive,9,568.5854
SS-U,PI,15,870.7373
SS-U,PI,40,1372.686
SS-U,PI,9,575.3594
SS-U,progressive,15,807.6316
SS-U,progressive,40,1216.7484
SS-U,progressive,9,561.7873
SS-U,rand,15,22.4287
SS-U,rand,40,22.836
SS-U,rand,9,21.7888
SS-U,SimAnnealing,15,796.4801
SS-U,SimAnnealing,40,1207.218
SS-U,SimAnnealing,9,547.8516
SS-U,UCB,15,868.7133
SS-U,UCB,40,1376.5477
SS-U,UCB,9,577.2837
wc+rs-3d-c4-obj1,b2,15,27.0565
wc+rs-3d-c4-obj1,b2,40,57.0164
wc+rs-3d-c4-obj1,b2,9,17.4627
wc+rs-3d-c4-obj1,base,,0.296
wc+rs-3d-c4-obj1,bonr,15,25.4065
wc+rs-3d-c4-obj1,bonr,40,56.0259
wc+rs-3d-c4-obj1,bonr,9,16.6487
wc+rs-3d-c4-obj1,EI,15,101.2947
wc+rs-3d-c4-obj1,EI,40,244.7404
wc+rs-3d-c4-obj1,EI,9,51.9935
wc+rs-3d-c4-obj1,ExpProgressive,15,36.5083
wc+rs-3d-c4-obj1,ExpProgressive,40,66.5738
wc+rs-3d-c4-obj1,ExpProgressive,9,25.0497
wc+rs-3d-c4-obj1,PI,15,88.9315
wc+rs-3d-c4-obj1,PI,40,232.3122
wc+rs-3d-c4-obj1,PI,9,49.2076
wc+rs-3d-c4-obj1,rand,15,0.416
wc+rs-3d-c4-obj1,rand,40,0.4915
wc+rs-3d-c4-obj1,rand,9,0.2909
wc+rs-3d-c4-obj1,SimAnnealing,15,32.2844
wc+rs-3d-c4-obj1,SimAnnealing,40,65.6777
wc+rs-3d-c4-obj1,SimAnnealing,9,22.4103
wc+rs-3d-c4-obj1,UCB,15,91.417
wc+rs-3d-c4-obj1,UCB,40,225.9078
wc+rs-3d-c4-obj1,UCB,9,49.9001
wc+sol-3d-c4-obj1,b2,15,25.4686
wc+sol-3d-c4-obj1,b2,40,61.9668
wc+sol-3d-c4-obj1,b2,9,17.5754
wc+sol-3d-c4-obj1,base,,0.2917
wc+sol-3d-c4-obj1,bonr,15,26.226
wc+sol-3d-c4-obj1,bonr,40,58.5093
wc+sol-3d-c4-obj1,bonr,9,17.7395
wc+sol-3d-c4-obj1,EI,15,95.0252
wc+sol-3d-c4-obj1,EI,40,230.9068
wc+sol-3d-c4-obj1,EI,9,52.7612
wc+sol-3d-c4-obj1,ExpProgressive,15,33.1499
wc+sol-3d-c4-obj1,ExpProgressive,40,71.0643
wc+sol-3d-c4-obj1,ExpProgressive,9,25.5266
wc+sol-3d-c4-obj1,PI,15,100.1521
wc+sol-3d-c4-obj1,PI,40,254.2927
wc+sol-3d-c4-obj1,PI,9,53.3811
wc+sol-3d-c4-obj1,progressive,15,39.6952
wc+sol-3d-c4-obj1,progressive,40,70.9367
wc+sol-3d-c4-obj1,progressive,9,30.3802
wc+sol-3d-c4-obj1,rand,15,0.3677
wc+sol-3d-c4-obj1,rand,40,0.411
wc+sol-3d-c4-obj1,rand,9,0.3495
wc+sol-3d-c4-obj1,SimAnnealing,15,31.0488
wc+sol-3d-c4-obj1,SimAnnealing,40,68.6882
wc+sol-3d-c4-obj1,SimAnnealing,9,23.5134
wc+sol-3d-c4-obj1,UCB,15,94.9715
wc+sol-3d-c4-obj1,UCB,40,241.4568
wc+sol-3d-c4-obj1,UCB,9,50.4956
wc+wc-3d-c4-obj1,b2,15,25.3503
wc+wc-3d-c4-obj1,b2,40,60.4507
wc+wc-3d-c4-obj1,b2,9,16.8196
wc+wc-3d-c4-obj1,base,,0.2879
wc+wc-3d-c4-obj1,bonr,15,24.57
wc+wc-3d-c4-obj1,bonr,40,56.5222
wc+wc-3d-c4-obj1,bonr,9,16.752
wc+wc-3d-c4-obj1,EI,15,95.2716
wc+wc-3d-c4-obj1,EI,40,240.8524
wc+wc-3d-c4-obj1,EI,9,52.9904
wc+wc-3d-c4-obj1,ExpProgressive,15,33.3096
wc+wc-3d-c4-obj1,ExpProgressive,40,67.4801
wc+wc-3d-c4-obj1,ExpProgressive,9,26.7322
wc+wc-3d-c4-obj1,PI,15,91.3125
wc+wc-3d-c4-obj1,PI,40,237.7452
wc+wc-3d-c4-obj1,PI,9,55.3781
wc+wc-3d-c4-obj1,progressive,15,41.0466
wc+wc-3d-c4-obj1,progressive,40,69.3258
wc+wc-3d-c4-obj1,progressive,9,30.1237
wc+wc-3d-c4-obj1,rand,15,0.3152
wc+wc-3d-c4-obj1,rand,40,0.4764
wc+wc-3d-c4-obj1,rand,9,0.3022
wc+wc-3d-c4-obj1,SimAnnealing,15,29.7313
wc+wc-3d-c4-obj1,SimAnnealing,40,65.6497
wc+wc-3d-c4-obj1,SimAnnealing,9,23.3331
wc+wc-3d-c4-obj1,UCB,15,92.2721
wc+wc-3d-c4-obj1,UCB,40,238.1592
wc+wc-3d-c4-obj1,UCB,9,49.6906
wc-6d-c1-obj1,b2,15,116.1589
wc-6d-c1-obj1,b2,40,327.651
wc-6d-c1-obj1,b2,9,53.9532
wc-6d-c1-obj1,base,,0.7997
wc-6d-c1-obj1,bonr,15,106.5811
wc-6d-c1-obj1,bonr,40,296.1563
wc-6d-c1-obj1,bonr,9,48.7731
wc-6d-c1-obj1,EI,15,500.9341
wc-6d-c1-obj1,EI,40,1302.9539
wc-6d-c1-obj1,EI,9,243.8291
wc-6d-c1-obj1,ExpProgressive,15,112.4481
wc-6d-c1-obj1,ExpProgressive,40,296.9933
wc-6d-c1-obj1,ExpProgressive,9,51.3027
wc-6d-c1-obj1,PI,15,463.5136
wc-6d-c1-obj1,PI,40,1243.6987
wc-6d-c1-obj1,PI,9,215.1414
wc-6d-c1-obj1,progressive,15,110.9159
wc-6d-c1-obj1,progressive,40,302.4604
wc-6d-c1-obj1,progressive,9,56.8919
wc-6d-c1-obj1,rand,15,0.7133
wc-6d-c1-obj1,rand,40,0.9005
wc-6d-c1-obj1,rand,9,0.9036
wc-6d-c1-obj1,SimAnnealing,15,107.7176
wc-6d-c1-obj1,SimAnnealing,40,308.3495
wc-6d-c1-obj1,SimAnnealing,9,51.4564
wc-6d-c1-obj1,UCB,15,472.5022
wc-6d-c1-obj1,UCB,40,1127.2971
wc-6d-c1-obj1,UCB,9,209.6733
X264_AllMeasurements,b2,15,147.7559
X264_AllMeasurements,b2,40,421.4542
X264_AllMeasurements,b2,9,77.8978
X264_AllMeasurements,base,,0.5439
X264_AllMeasurements,bonr,15,149.3171
X264_AllMeasurements,bonr,40,417.5144
X264_AllMeasurements,bonr,9,82.9161
X264_AllMeasurements,EI,15,210.2304
X264_AllMeasurements,EI,40,708.0892
X264_AllMeasurements,EI,9,100.4732
X264_AllMeasurements,ExpProgressive,15,154.8146
X264_AllMeasurements,ExpProgressive,40,428.8261
X264_AllMeasurements,ExpProgressive,9,79.2982
X264_AllMeasurements,PI,15,213.6056
X264_AllMeasurements,PI,40,712.5625
X264_AllMeasurements,PI,9,98.5122
X264_AllMeasurements,progressive,15,157.9923
X264_AllMeasurements,progressive,40,421.4454
X264_AllMeasurements,progressive,9,78.3195
X264_AllMeasurements,rand,15,0.5181
X264_AllMeasurements,rand,40,0.733
X264_AllMeasurements,rand,9,0.4804
X264_AllMeasurements,SimAnnealing,15,151.4194
X264_AllMeasurements,SimAnnealing,40,410.3618
X264_AllMeasurements,SimAnnealing,9,80.8373
X264_AllMeasurements,UCB,15,208.0695
X264_AllMeasurements,UCB,40,685.7273
X264_AllMeasurements,UCB,9,90.2635
xomo_flight,b2,15,964.1715
xomo_flight,b2,40,1703.3612
xomo_flight,b2,9,586.8872
xomo_flight,base,,29.0078
xomo_flight,bonr,15,1027.7278
xomo_flight,bonr,40,1844.5084
xomo_flight,bonr,9,619.6074
xomo_flight,EI,15,1598.0717
xomo_flight,EI,40,2747.5224
xomo_flight,EI,9,924.3838
xomo_flight,ExpProgressive,15,942.3422
xomo_flight,ExpProgressive,40,1825.6217
xomo_flight,ExpProgressive,9,565.6902
xomo_flight,PI,15,1540.6794
xomo_flight,PI,40,2709.7587
xomo_flight,PI,9,882.5397
xomo_flight,progressive,15,970.3009
xomo_flight,progressive,40,1833.2117
xomo_flight,progressive,9,590.4538
xomo_flight,rand,15,29.6306
xomo_flight,rand,40,29.1418
xomo_flight,rand,9,30.0698
xomo_flight,SimAnnealing,15,1033.0145
xomo_flight,SimAnnealing,40,1695.7171
xomo_flight,SimAnnealing,9,596.6277
xomo_flight,UCB,15,1544.5396
xomo_flight,UCB,40,2731.2222
xomo_flight,UCB,9,898.7115
xomo_ground,b2,15,955.3202
xomo_ground,b2,40,1837.0438
xomo_ground,b2,9,580.5612
xomo_ground,base,,26.5847
xomo_ground,bonr,15,1002.8967
xomo_ground,bonr,40,1837.19
xomo_ground,bonr,9,601.3183
xomo_ground,EI,15,1570.7618
xomo_ground,EI,40,2757.4837
xomo_ground,EI,9,938.9692
xomo_ground,ExpProgressive,15,944.3147
xomo_ground,ExpProgressive,40,1802.9419
xomo_ground,ExpProgressive,9,548.2121
xomo_ground,PI,15,1605.0989
xomo_ground,PI,40,2722.7348
xomo_ground,PI,9,915.4135
xomo_ground,progressive,15,949.0435
xomo_ground,progressive,40,1646.5518
xomo_ground,progressive,9,575.3032
xomo_ground,rand,15,29.52
xomo_ground,rand,40,33.4085
xomo_ground,rand,9,30.0555
xomo_ground,SimAnnealing,15,1015.8916
xomo_ground,SimAnnealing,40,1877.3095
xomo_ground,SimAnnealing,9,577.5299
xomo_ground,UCB,15,1589.44
xomo_ground,UCB,40,2646.2177
xomo_ground,UCB,9,920.6974
xomo_osp2,b2,15,970.6266
xomo_osp2,b2,40,1823.2513
xomo_osp2,b2,9,576.8689
xomo_osp2,base,,27.1843
xomo_osp2,bonr,15,1045.144
xomo_osp2,bonr,40,1854.854
xomo_osp2,bonr,9,626.0255
xomo_osp2,EI,15,1599.3302
xomo_osp2,EI,40,2757.3374
xomo_osp2,EI,9,935.346
xomo_osp2,ExpProgressive,15,958.2983
xomo_osp2,ExpProgressive,40,1794.9084
xomo_osp2,ExpProgressive,9,566.9179
xomo_osp2,PI,15,1547.2341
xomo_osp2,PI,40,2737.3481
xomo_osp2,PI,9,894.7832
xomo_osp2,progressive,15,980.2122
xomo_osp2,progressive,40,1773.9197
xomo_osp2,progressive,9,600.7143
xomo_osp2,rand,15,27.8817
xomo_osp2,rand,40,31.4776
xomo_osp2,rand,9,30.7354
xomo_osp2,SimAnnealing,15,1036.7394
xomo_osp2,SimAnnealing,40,1842.6296
xomo_osp2,SimAnnealing,9,613.8059
xomo_osp2,UCB,15,1349.1629
xomo_osp2,UCB,40,2745.5849
xomo_osp2,UCB,9,907.1963
xomo_osp,b2,15,951.4252
xomo_osp,b2,40,1799.1412
xomo_osp,b2,9,568.8778
xomo_osp,base,,29.9033
xomo_osp,bonr,15,1036.1338
xomo_osp,bonr,40,1737.689
xomo_osp,bonr,9,597.7191
xomo_osp,EI,15,1575.4256
xomo_osp,EI,40,2748.8133
xomo_osp,EI,9,943.197
xomo_osp,ExpProgressive,15,958.4548
xomo_osp,ExpProgressive,40,1810.0442
xomo_osp,ExpProgressive,9,580.0913
xomo_osp,PI,15,1574.6671
xomo_osp,PI,40,2630.5244
xomo_osp,PI,9,897.9342
xomo_osp,progressive,15,974.8277
xomo_osp,progressive,40,1792.0685
xomo_osp,progressive,9,592.5308
xomo_osp,rand,15,28.1295
xomo_osp,rand,40,29.8686
xomo_osp,rand,9,27.4871
xomo_osp,SimAnnealing,15,1007.1619
xomo_osp,SimAnnealing,40,1845.5754
xomo_osp,SimAnnealing,9,594.0211
xomo_osp,UCB,15,1555.798
xomo_osp,UCB,40,2732.7148
xomo_osp,UCB,9,913.5187
