dataset,treatment,budget,time
pom3c,ExpProgressive,9,62.5859
pom3c,PI,15,208.2094
pom3c,PI,40,448.8322
pom3c,PI,9,116.3092
pom3c,progressive,15,105.8654
pom3c,progressive,40,204.0954
pom3c,progressive,9,72.4
pom3c,rand,15,2.799
pom3c,rand,40,2.4063
pom3c,rand,9,2.6697
pom3c,SimAnnealing,15,100.677
pom3c,SimAnnealing,40,193.8042
pom3c,SimAnnealing,9,61.861
pom3c,UCB,15,208.1358
pom3c,UCB,40,439.1133
pom3c,UCB,9,118.4842
rs-6d-c3_obj1,b2,15,254.1116
rs-6d-c3_obj1,b2,40,489.634
rs-6d-c3_obj1,b2,9,157.5109
rs-6d-c3_obj1,base,,8.4717
rs-6d-c3_obj1,bonr,15,263.6216
rs-6d-c3_obj1,bonr,40,489.7995
rs-6d-c3_obj1,bonr,9,162.3071
rs-6d-c3_obj1,EI,15,599.0038
rs-6d-c3_obj1,EI,40,938.7989
rs-6d-c3_obj1,EI,9,387.8233
rs-6d-c3_obj1,ExpProgressive,15,265.9112
rs-6d-c3_obj1,ExpProgressive,40,484.6967
rs-6d-c3_obj1,ExpProgressive,9,171.3025
rs-6d-c3_obj1,PI,15,569.1164
rs-6d-c3_obj1,PI,40,950.1652
rs-6d-c3_obj1,PI,9,383.4081
rs-6d-c3_obj1,progressive,15,266.3837
rs-6d-c3_obj1,progressive,40,495.374
rs-6d-c3_obj1,progressive,9,177.1002
rs-6d-c3_obj1,rand,15,10.2076
rs-6d-c3_obj1,rand,40,10.9955
rs-6d-c3_obj1,rand,9,10.4956
rs-6d-c3_obj1,SimAnnealing,15,263.5827
rs-6d-c3_obj1,SimAnnealing,40,472.7916
rs-6d-c3_obj1,SimAnnealing,9,167.8797
rs-6d-c3_obj1,UCB,15,575.2794
rs-6d-c3_obj1,UCB,40,943.5667
rs-6d-c3_obj1,UCB,9,367.3865
rs-6d-c3_obj2,b2,15,241.8941
rs-6d-c3_obj2,b2,40,477.7022
rs-6d-c3_obj2,b2,9,147.6379
rs-6d-c3_obj2,base,,8.377
rs-6d-c3_obj2,bonr,15,238.3924
rs-6d-c3_obj2,bonr,40,447.455
rs-6d-c3_obj2,bonr,9,146.3842
rs-6d-c3_obj2,EI,15,575.275
rs-6d-c3_obj2,EI,40,914.2094
rs-6d-c3_obj2,EI,9,358.5685
rs-6d-c3_obj2,ExpProgressive,15,237.525
rs-6d-c3_obj2,ExpProgressive,40,437.8881
rs-6d-c3_obj2,ExpProgressive,9,147.9826
rs-6d-c3_obj2,PI,15,537.1534
rs-6d-c3_obj2,PI,40,921.4099
rs-6d-c3_obj2,PI,9,353.7134
rs-6d-c3_obj2,progressive,15,241.4753
rs-6d-c3_obj2,progressive,40,441.3124
rs-6d-c3_obj2,progressive,9,152.5661
rs-6d-c3_obj2,rand,15,9.3092
rs-6d-c3_obj2,rand,40,8.9692
rs-6d-c3_obj2,rand,9,8.8337
rs-6d-c3_obj2,SimAnnealing,15,235.6324
rs-6d-c3_obj2,SimAnnealing,40,475.9748
