dataset,treatment,budget,time
pom3c,ExpProgressive,9,77.9944
pom3c,PI,15,855.2165
pom3c,PI,40,1702.3966
pom3c,PI,9,484.625
pom3c,progressive,15,138.2665
pom3c,progressive,40,296.3125
pom3c,progressive,9,83.0238
pom3c,rand,15,2.2441
pom3c,rand,40,2.2626
pom3c,rand,9,2.6777
pom3c,SimAnnealing,15,124.7587
pom3c,SimAnnealing,40,247.3481
pom3c,SimAnnealing,9,59.2166
pom3c,UCB,15,885.1556
pom3c,UCB,40,1799.8487
pom3c,UCB,9,536.3738
rs-6d-c3_obj1,b2,15,350.5096
rs-6d-c3_obj1,b2,40,900.494
rs-6d-c3_obj1,b2,9,234.4752
rs-6d-c3_obj1,base,,9.104
rs-6d-c3_obj1,bonr,15,366.484
rs-6d-c3_obj1,bonr,40,892.3927
rs-6d-c3_obj1,bonr,9,240.5533
rs-6d-c3_obj1,EI,15,2343.3566
rs-6d-c3_obj1,EI,40,3725.4869
rs-6d-c3_obj1,EI,9,1556.0998
rs-6d-c3_obj1,ExpProgressive,15,374.4077
rs-6d-c3_obj1,ExpProgressive,40,883.3738
rs-6d-c3_obj1,ExpProgressive,9,246.3502
rs-6d-c3_obj1,PI,15,2349.9757
rs-6d-c3_obj1,PI,40,3743.3028
rs-6d-c3_obj1,PI,9,1604.6199
rs-6d-c3_obj1,progressive,15,395.5913
rs-6d-c3_obj1,progressive,40,881.337
rs-6d-c3_obj1,progressive,9,233.0473
rs-6d-c3_obj1,rand,15,11.4544
rs-6d-c3_obj1,rand,40,11.2422
rs-6d-c3_obj1,rand,9,11.6124
rs-6d-c3_obj1,SimAnnealing,15,408.831
rs-6d-c3_obj1,SimAnnealing,40,792.3416
rs-6d-c3_obj1,SimAnnealing,9,244.8185
rs-6d-c3_obj1,UCB,15,2374.6705
rs-6d-c3_obj1,UCB,40,3708.1755
rs-6d-c3_obj1,UCB,9,1490.544
rs-6d-c3_obj2,b2,15,376.0708
rs-6d-c3_obj2,b2,40,856.2914
rs-6d-c3_obj2,b2,9,225.9938
rs-6d-c3_obj2,base,,9.4576
rs-6d-c3_obj2,bonr,15,392.3264
rs-6d-c3_obj2,bonr,40,805.4637
rs-6d-c3_obj2,bonr,9,200.4002
rs-6d-c3_obj2,EI,15,2376.0285
rs-6d-c3_obj2,EI,40,3684.7876
rs-6d-c3_obj2,EI,9,1562.9702
rs-6d-c3_obj2,ExpProgressive,15,370.1907
rs-6d-c3_obj2,ExpProgressive,40,757.899
rs-6d-c3_obj2,ExpProgressive,9,194.6271
rs-6d-c3_obj2,PI,15,2344.5633
rs-6d-c3_obj2,PI,40,3688.9146
rs-6d-c3_obj2,PI,9,1573.5202
rs-6d-c3_obj2,progressive,15,375.449
rs-6d-c3_obj2,progressive,40,848.1343
rs-6d-c3_obj2,progressive,9,223.1616
rs-6d-c3_obj2,rand,15,12.2483
rs-6d-c3_obj2,rand,40,11.2468
rs-6d-c3_obj2,rand,9,9.1613
rs-6d-c3_obj2,SimAnnealing,15,379.2481
rs-6d-c3_obj2,SimAnnealing,40,792.3327
rs-6d-c3_obj2,SimAnnealing,9,211.2374
rs-6d-c3_obj2,UCB,15,2335.1688
rs-6d-c3_obj2,UCB,40,3673.3256
rs-6d-c3_obj2,UCB,9,1546.7317
SQL_AllMeasurements,b2,15,1608.2763
SQL_AllMeasurements,b2,40,2776.8059
SQL_AllMeasurements,b2,9,1053.9059
SQL_AllMeasurements,base,,41.4945
SQL_AllMeasurements,bonr,15,1634.9246
SQL_AllMeasurements,bonr,40,2745.6107
SQL_AllMeasurements,bonr,9,1054.5386
SQL_AllMeasurements,EI,15,3423.1607
SQL_AllMeasurements,EI,40,5374.3701
SQL_AllMeasurements,EI,9,2449.8572
SQL_AllMeasurements,ExpProgressive,15,1611.3222
SQL_AllMeasurements,ExpProgressive,40,2741.1079
SQL_AllMeasurements,ExpProgressive,9,1052.49
SQL_AllMeasurements,PI,15,3402.739
SQL_AllMeasurements,PI,40,5368.5747
SQL_AllMeasurements,PI,9,2497.4877
SQL_AllMeasurements,progressive,15,1614.876
SQL_AllMeasurements,progressive,40,2775.1001
SQL_AllMeasurements,progressive,9,1057.2189
SQL_AllMeasurements,rand,15,34.1575
SQL_AllMeasurements,rand,40,38.0638
SQL_AllMeasurements,rand,9,44.0212
SQL_AllMeasurements,SimAnnealing,15,1623.3566
SQL_AllMeasurements,SimAnnealing,40,2750.1341
SQL_AllMeasurements,SimAnnealing,9,1030.1718
SQL_AllMeasurements,UCB,15,3363.175
SQL_AllMeasurements,UCB,40,5437.5105
SQL_AllMeasurements,UCB,9,2457.0128
SS-B,b2,15,31.4918
SS-B,b2,40,59.988
SS-B,base,,0.3901
SS-B,bonr,15,31.1755
SS-B,bonr,40,64.6106
SS-B,bonr,9,13.0962
SS-B,EI,15,327.5218
SS-B,EI,40,767.5596
SS-B,EI,9,161.1031
SS-B,ExpProgressive,15,42.7337
SS-B,ExpProgressive,40,90.1476
SS-B,ExpProgressive,9,30.3446
SS-B,PI,15,332.7057
SS-B,PI,40,730.1535
SS-B,PI,9,172.418
SS-B,progressive,15,38.3256
SS-B,progressive,40,102.7551
SS-B,progressive,9,33.3812
SS-B,rand,15,0.5053
SS-B,rand,9,0.4816
SS-B,SimAnnealing,15,41.1213
SS-B,SimAnnealing,40,78.1801
SS-B,SimAnnealing,9,26.6193
SS-B,UCB,15,309.2171
SS-B,UCB,40,641.7893
SS-B,UCB,9,183.8323
SS-D,b2,15,23.6434
SS-D,b2,40,73.079
SS-D,b2,9,18.6747
