RANK,0,1,2,3,4,5,6
rand,44,48,0,30,0,0,0
UCB\_minus,38,35,0,0,0,0,45
PI,37,35,0,0,50,0,0
EI,35,35,0,0,0,0,50
UCB\_plus,35,38,0,0,0,50,0
focus,48,55,15,23,45,0,40
bonr,43,35,45,40,0,0,60
b2,45,48,40,53,10,0,10
baseline,0,0,0,0,2281,929,0
