Rank,0,1,2,3,4,5,6
rand,77,15,0,8,0,0,0
UCB\_minus,77,15,0,0,0,0,8
PI,77,15,0,0,8,0,0
EI,77,15,0,0,0,0,8
UCB\_plus,69,23,0,0,0,8,0
focus,46,8,15,15,8,0,8
bonr,38,15,15,23,0,0,8
b2,31,31,8,15,8,0,8
baseline,0,0,0,0,38,23,0
